,Symbol,Company Name,Industry,Sector,Founded,shares outstanding
0,AAPL,Apple,Consumer Electronics,Technology,1977,15634199635.0
1,MSFT,Microsoft,Software - Infrastructure,Technology,1975,7429760448.0
2,GOOGL,Alphabet,Internet Content & Information,Communication Services,1998,12656499765.0
3,GOOG,Alphabet,Internet Content & Information,Communication Services,1998,12553699686.0
4,AMZN,Amazon.com,Internet Retail,Consumer Discretionary,1994,10317800324.0
5,NVDA,NVIDIA,Semiconductors,Technology,1993,2470000118.0
6,META,Meta Platforms,Internet Content & Information,Communication Services,2004,2573160027.0
7,TSLA,Tesla,Auto Manufacturers,Consumer Discretionary,2003,3173989792.0
8,BRK-B,Berkshire Hathaway,Insurance - Diversified,Financials,1839,2181249981.0
9,LLY,Eli Lilly and Company,Drug Manufacturers - General,Healthcare,1876,949295044.0
10,V,Visa Inc.,Credit Services,Financials,1958,2079800031.0
11,UNH,UnitedHealth Group,Healthcare Plans,Healthcare,1977,926305027.0
12,WMT,Walmart,Discount Stores,Consumer Staples,1945,2691559958.0
13,JPM,JPMorgan Chase & Co.,Banks - Diversified,Financials,1799,2906089775.0
14,XOM,Exxon Mobil,Oil & Gas Integrated,Energy,1870,3986499984.0
15,JNJ,Johnson & Johnson,Drug Manufacturers - General,Healthcare,1886,2408009918.0
16,MA,Mastercard,Credit Services,Financials,1966,942211994.0
17,AVGO,Broadcom,Semiconductors,Technology,-,412735995.0
18,PG,The Procter & Gamble Company,Household & Personal Products,Consumer Staples,1837,2356890187.0
19,CVX,Chevron,Oil & Gas Integrated,Energy,1879,1907600001.0
20,ORCL,Oracle,Software - Infrastructure,Technology,1977,2739379993.0
21,HD,The Home Depot,Home Improvement Retail,Consumer Discretionary,1978,1000070014.0
22,ABBV,AbbVie,Drug Manufacturers - General,Healthcare,-,1765049943.0
23,MRK,Merck & Co.,Drug Manufacturers - General,Healthcare,2000,2537520062.0
24,COST,Costco Wholesale,Discount Stores,Consumer Staples,1976,442793012.0
25,ADBE,Adobe,Software - Infrastructure,Technology,1982,455299981.0
26,KO,The Coca-Cola Company,Beverages - Non-Alcoholic,Consumer Staples,1886,4324340065.0
27,PEP,PepsiCo,Beverages - Non-Alcoholic,Consumer Staples,1898,1374860005.0
28,CSCO,Cisco Systems,Communication Equipment,Technology,1984,4054860160.0
29,BAC,Bank of America,Banks - Diversified,Financials,1784,7946370368.0
30,CRM,Salesforce,Software - Application,Technology,1999,973000017.0
31,ACN,Accenture,Information Technology Services,Technology,1989,629507993.0
32,TMO,Thermo Fisher Scientific,Diagnostics & Research,Healthcare,1956,385950008.0
33,PFE,Pfizer,Drug Manufacturers - General,Healthcare,1849,5645960048.0
34,LIN,Linde,Specialty Chemicals,Materials,1879,487945997.0
35,MCD,McDonald's,Restaurants,Consumer Discretionary,1940,728763023.0
36,CMCSA,Comcast,Telecom Services,Communication Services,1963,4125130115.0
37,AMD,Advanced Micro Devices,Semiconductors,Technology,1969,1615669941.0
38,TMUS,T-Mobile US,Telecom Services,Communication Services,1994,1176460034.0
39,NFLX,Netflix,Entertainment,Communication Services,1997,443147015.0
40,ABT,Abbott Laboratories,Medical Devices,Healthcare,1888,1735360066.0
41,DHR,Danaher,Diagnostics & Research,Healthcare,1969,738352003.0
42,DIS,The Walt Disney Company,Entertainment,Communication Services,1923,1829779988.0
43,INTC,Intel,Semiconductors,Technology,1968,4188000069.0
44,INTU,Intuit,Software - Application,Technology,1983,280259002.0
45,AMGN,Amgen,Drug Manufacturers - General,Healthcare,1980,534901030.0
46,NKE,"NIKE, Inc.",Footwear & Accessories,Consumer Discretionary,1964,1521910009.0
47,WFC,Wells Fargo & Company,Banks - Diversified,Financials,1852,3658779605.0
48,PM,Philip Morris International,Tobacco,Consumer Staples,-,1552349965.0
49,COP,Conoco Phillips,Oil & Gas E&P,Energy,1917,1197490099.0
50,TXN,Texas Instruments,Semiconductors,Technology,1930,907966018.0
51,CAT,Caterpillar,Farm & Heavy Construction Machinery,Industrials,1925,516345936.0
