,Symbol,Company Name,Industry,Sector,Founded,shares outstanding
0,AAPL,Apple,Consumer Electronics,Technology,1977,15634199635.0
1,MSFT,Microsoft,Software - Infrastructure,Technology,1975,7429760448.0
2,GOOGL,Alphabet,Internet Content & Information,Communication Services,1998,12656499765.0
3,GOOG,Alphabet,Internet Content & Information,Communication Services,1998,12553699686.0
4,AMZN,Amazon.com,Internet Retail,Consumer Discretionary,1994,10317800324.0
5,NVDA,NVIDIA,Semiconductors,Technology,1993,2470000118.0
6,META,Meta Platforms,Internet Content & Information,Communication Services,2004,2573160027.0
7,TSLA,Tesla,Auto Manufacturers,Consumer Discretionary,2003,3173989792.0
8,AVGO,Broadcom,Semiconductors,Technology,-,412735995.0
9,COST,Costco Wholesale,Discount Stores,Consumer Staples,1976,442793012.0
10,ADBE,Adobe,Software - Infrastructure,Technology,1982,455299981.0
11,ASML,ASML Holding,Semiconductor Equipment & Materials,Technology,1984,393400005.0
12,PEP,PepsiCo,Beverages - Non-Alcoholic,Consumer Staples,1898,1374860005.0
13,CSCO,Cisco Systems,Communication Equipment,Technology,1984,4054860160.0
14,AZN,AstraZeneca,Drug Manufacturers - General,Healthcare,1992,3099810159.0
15,CMCSA,Comcast,Telecom Services,Communication Services,1963,4125130115.0
16,AMD,Advanced Micro Devices,Semiconductors,Technology,1969,1615669941.0
17,TMUS,T-Mobile US,Telecom Services,Communication Services,1994,1176460034.0
18,NFLX,Netflix,Entertainment,Communication Services,1997,443147015.0
19,INTC,Intel,Semiconductors,Technology,1968,4188000069.0
20,INTU,Intuit,Software - Application,Technology,1983,280259002.0
21,AMGN,Amgen,Drug Manufacturers - General,Healthcare,1980,534901030.0
22,PDD,PDD Holdings,Internet Retail,Consumer Discretionary,2015,1328589976.0
23,TXN,Texas Instruments,Semiconductors,Technology,1930,907966018.0
24,HON,Honeywell International,Conglomerates,Industrials,-,663960988.0
25,QCOM,QUALCOMM,Semiconductors,Technology,1985,1116000023.0
26,AMAT,Applied Materials,Semiconductor Equipment & Materials,Technology,1967,836533990.0
27,BKNG,Booking Holdings,Travel Services,Consumer Discretionary,1997,35692199.0
28,SBUX,Starbucks,Restaurants,Consumer Discretionary,1971,1145400005.0
29,ADP,Automatic Data Processing,Staffing & Employment Services,Industrials,1949,411972021.0
30,ISRG,Intuitive Surgical,Medical Instruments & Supplies,Healthcare,1995,351355022.0
31,GILD,Gilead Sciences,Drug Manufacturers - General,Healthcare,1987,1246010012.0
32,VRTX,Vertex Pharmaceuticals,Biotechnology,Healthcare,1989,258095010.0
33,REGN,Regeneron Pharmaceuticals,Biotechnology,Healthcare,1988,108558996.0
34,ADI,Analog Devices,Semiconductors,Technology,1965,498313992.0
35,MDLZ,Mondelez International,Confectioners,Consumer Staples,-,1360420043.0
36,LRCX,Lam Research,Semiconductor Equipment & Materials,Technology,1980,132221992.0
37,ABNB,Airbnb,Travel Services,Consumer Discretionary,2008,638083954.0
38,PANW,Palo Alto Networks,Software - Infrastructure,Technology,2005,308594988.0
39,MU,Micron Technology,Semiconductors,Technology,1978,1098029964.0
40,SNPS,Synopsys,Software - Infrastructure,Technology,1986,152084004.0
41,CDNS,Cadence Design Systems,Software - Application,Technology,1988,271790016.0
42,CHTR,Charter Communications,Telecom Services,Communication Services,1993,149671010.0
43,KLAC,KLA Corporation,Semiconductor Equipment & Materials,Technology,1975,136322005.0
44,PYPL,PayPal Holdings,Credit Services,Financials,1998,1098040049.0
45,CSX,CSX Corporation,Railroads,Industrials,-,2006330035.0
46,MELI,MercadoLibre,Internet Retail,Consumer Discretionary,1999,50092698.0
47,MAR,Marriott International,Lodging,Consumer Discretionary,1927,298240012.0
48,WDAY,Workday,Software - Application,Technology,2005,261999994.0
49,ORLY,O'Reilly Automotive,Specialty Retail,Consumer Discretionary,1957,60258296.0
50,NXPI,NXP Semiconductors,Semiconductors,Technology,2006,257802010.0
51,CTAS,Cintas,Specialty Business Services,Industrials,1968,101853999.0
52,MNST,Monster Beverage,Beverages - Non-Alcoholic,Consumer Staples,-,1047519958.0
